time,snowa
2001-1,28746380.0
2001-2,27599846.0
2001-3,24161636.0
2001-4,16379915.0
2001-5,8442597.0
2001-6,2766346.5
2001-7,233545.06
2001-8,162840.44
2001-9,2399097.0
2001-10,10995110.0
2001-11,19063740.0
2001-12,28306632.0
2002-1,29555922.0
2002-2,25762364.0
2002-3,21040480.0
2002-4,16789476.0
2002-5,9451419.0
2002-6,3008894.0
2002-7,455521.12
2002-8,283093.12
2002-9,2310716.5
2002-10,13415373.0
2002-11,21325314.0
2002-12,29553932.0
2003-1,30688250.0
2003-2,30433440.0
2003-3,25917232.0
2003-4,17869632.0
2003-5,10675268.0
2003-6,4259803.0
2003-7,547551.0
2003-8,148039.1
2003-9,927332.3
2003-10,10348096.0
2003-11,20770802.0
2003-12,26071428.0
2004-1,29799744.0
2004-2,27311668.0
2004-3,23114746.0
2004-4,16856578.0
2004-5,10386253.0
2004-6,3748222.0
2004-7,547931.1
2004-8,197625.58
2004-9,1259629.1
2004-10,10931439.0
2004-11,20676594.0
2004-12,27954728.0
2005-1,28550374.0
2005-2,30779782.0
2005-3,25259678.0
2005-4,17193548.0
2005-5,8892962.0
2005-6,3282767.8
2005-7,604511.44
2005-8,246940.56
2005-9,896387.9
2005-10,9377039.0
2005-11,18931762.0
2005-12,27240060.0
2006-1,31243552.0
2006-2,29007498.0
2006-3,24582368.0
2006-4,17823456.0
2006-5,10064320.0
2006-6,3029026.5
2006-7,370855.38
2006-8,195354.66
2006-9,1399627.6
2006-10,11767909.0
2006-11,20777602.0
2006-12,25830460.0
2007-1,27193912.0
2007-2,27540652.0
2007-3,23875402.0
2007-4,15292662.0
2007-5,8664089.0
2007-6,2637063.8
2007-7,312901.88
2007-8,128189.445
2007-9,689333.75
2007-10,8288601.0
2007-11,19922778.0
2007-12,26474750.0
2008-1,32117184.0
2008-2,29391258.0
2008-3,21174352.0
2008-4,14885707.0
2008-5,8543308.0
2008-6,1948267.0
2008-7,205717.06
2008-8,123168.91
2008-9,1186311.1
2008-10,8638571.0
2008-11,19072476.0
2008-12,26091500.0
2009-1,29303120.0
2009-2,27308874.0
2009-3,23645708.0
2009-4,15699849.0
2009-5,8807990.0
2009-6,2000049.5
2009-7,183497.8
2009-8,140933.16
2009-9,654684.6
2009-10,11508213.0
2009-11,22587084.0
2009-12,27787532.0
2010-1,29832106.0
2010-2,29871140.0
2010-3,25833906.0
2010-4,17536252.0
2010-5,7550524.5
2010-6,1579255.5
2010-7,175582.83
2010-8,130824.336
2010-9,1682972.2
2010-10,10789806.0
2010-11,20115304.0
2010-12,27932200.0
