time,T,Td,P,wind
2015-1,-9.654585152838427,-15.700436681222707,1027.8061135371179,1.9781659388646289
2015-2,-5.270673076923076,-12.359615384615385,1023.598076923077,2.283653846153846
2015-3,2.8471615720524017,-8.767248908296944,1020.6606986899563,2.7860262008733625
2015-4,8.592753623188406,-2.5420289855072467,1016.5869565217392,2.5652173913043477
2015-5,17.86115702479339,4.707024793388429,1006.4764462809917,3.3636363636363633
2015-6,21.800448430493272,14.546188340807173,1004.7807174887892,2.295964125560538
2015-7,25.238116591928254,17.835874439461882,1005.7022421524664,2.040358744394619
2015-8,24.393119266055045,18.8,1007.1532110091742,1.926605504587156
2015-9,19.077981651376145,10.307339449541285,1014.8605504587156,2.073394495412844
2015-10,10.206008583690988,0.6141630901287554,1018.3618025751073,2.3175965665236054
2015-11,-1.4995614035087719,-7.996929824561404,1028.4526315789474,2.583333333333333
2015-12,-5.116379310344827,-10.367241379310345,1026.764224137931,2.021551724137931
2016-1,-12.574122807017543,-20.95701754385965,1029.1504385964913,1.9649122807017545
2016-2,-5.320289855072464,-15.080676328502415,1024.9227053140098,2.391304347826087
2016-3,4.247186147186147,-7.914285714285714,1020.2497835497836,2.813852813852814
2016-4,11.752914798206278,-2.1443946188340806,1011.9717488789238,3.246636771300449
2016-5,18.038197424892704,6.346351931330473,1008.0600858369098,3.2017167381974247
2016-6,22.16550218340611,14.499563318777295,1005.1786026200873,2.3406113537117905
2016-7,25.40478260869565,20.33608695652174,1005.6526086956521,1.908695652173913
2016-8,24.575,19.184322033898304,1006.7127118644069,2.0889830508474576
2016-9,18.84147465437788,13.68663594470046,1013.4967741935483,1.866359447004608
2016-10,9.294666666666668,2.3195555555555556,1021.2639999999999,2.2933333333333334
2016-11,-0.12268518518518519,-6.885185185185184,1024.2125,2.2962962962962963
2016-12,-6.437053571428571,-11.461160714285715,1026.8700892857144,2.0625
2017-1,-8.377232142857142,-15.365178571428572,1027.755357142857,2.080357142857143
2017-2,-4.333816425120773,-12.509178743961353,1024.7632850241546,2.2753623188405796
2017-3,3.3058035714285716,-8.759375,1020.45625,2.263392857142857
2017-4,12.976106194690265,-2.227433628318584,1010.8115044247788,2.9601769911504423
2017-5,18.92436974789916,6.350840336134454,1009.2966386554623,3.03781512605042
2017-6,23.00403587443946,12.418834080717488,1006.4766816143498,2.201793721973094
2017-7,26.557203389830512,20.353389830508473,1004.6733050847457,2.3559322033898304
2017-8,23.769565217391303,18.921256038647343,1006.8101449275362,1.743961352657005
2017-9,19.084422110552765,11.761306532663315,1011.8361809045225,2.0
2017-10,9.783732057416268,0.4545454545454546,1023.433971291866,2.3444976076555024
2017-11,0.7205357142857143,-10.216071428571428,1022.7066964285714,2.6875
2017-12,-7.713392857142857,-17.576339285714287,1026.64375,2.0982142857142856
2018-1,-12.338866396761134,-20.742914979757085,1027.051821862348,1.7692307692307694
2018-2,-7.798029556650246,-19.985714285714288,1024.8344827586207,2.41871921182266
2018-3,2.911842105263158,-7.855701754385964,1020.5223684210526,3.0219298245614032
2018-4,12.221052631578948,-2.380263157894737,1013.6627192982456,3.495614035087719
2018-5,18.71965811965812,6.679914529914529,1008.8709401709402,2.7564102564102564
2018-6,23.143171806167402,15.088986784140968,1004.6299559471365,2.5154185022026434
2018-7,27.117672413793105,21.325,1006.0827586206897,2.0732758620689653
2018-8,25.013698630136986,19.380365296803653,1007.4228310502283,1.91324200913242
2018-9,17.41855670103093,11.067525773195877,1012.3871134020619,1.77319587628866
2018-10,10.126395939086295,1.034010152284264,1018.7,2.2081218274111674
2018-11,2.7468926553672315,-5.770621468926554,1024.5875706214688,1.9943502824858759
2018-12,-7.687606837606838,-17.344871794871796,1030.351282051282,1.9914529914529915
2019-1,-6.919090909090909,-17.71409090909091,1027.8122727272726,2.1227272727272726
2019-2,-4.962121212121213,-17.295454545454547,1026.009090909091,2.025252525252525
2019-3,4.709051724137931,-8.513793103448275,1016.0094827586206,2.7801724137931036
2019-4,11.286486486486487,-3.6671171171171175,1013.65,3.054054054054054
2019-5,19.469417475728157,3.564563106796116,1007.614563106796,3.2233009708737868
2019-6,21.935426008968612,14.527354260089686,1005.442600896861,2.2556053811659194
2019-7,26.327232142857145,20.352678571428573,1003.3901785714286,2.1875
2019-8,23.57117117117117,19.647297297297296,1005.6342342342343,1.882882882882883
2019-9,19.51336405529954,13.242396313364054,1015.5861751152073,2.4930875576036864
2019-10,10.837383177570093,1.6911214953271028,1020.3714953271028,3.0934579439252334
2019-11,0.7238532110091743,-8.353669724770644,1024.847247706422,2.2302752293577983
2019-12,-7.209375,-13.379910714285714,1027.0674107142856,1.765625
2020-1,-9.262162162162163,-14.509459459459459,1027.976126126126,1.5968468468468469
2020-2,-4.093577981651376,-10.711009174311927,1026.2009174311927,2.3270642201834866
2020-3,3.915702479338843,-6.776033057851239,1017.8185950413223,2.5074380165289254
2020-4,10.424,-4.302666666666666,1016.2453333333333,2.6768888888888887
2020-5,17.3969696969697,8.95974025974026,1007.6658008658009,2.675324675324675
2020-6,23.438695652173912,14.69304347826087,1004.441304347826,2.426086956521739
2020-7,25.47180616740088,18.226872246696036,1005.9140969162996,1.9973568281938328
2020-8,24.879464285714285,20.758035714285715,1005.4982142857143,2.0401785714285716
2020-9,18.409259259259258,13.424537037037037,1011.6509259259259,2.055555555555556
2020-10,9.887387387387388,1.5977477477477477,1020.8846846846848,2.018918918918919
2020-11,2.338222222222222,-6.119555555555555,1025.8742222222222,2.431111111111111
2020-12,-8.217333333333332,-17.060444444444446,1028.700888888889,2.1764444444444444
